deposit_tx_count,net_flow_ma7,non_exchange_ratio,std_whale_tx_size_eth,deposit_withdrawal_ratio,exchange_volume_ratio,withdrawal_tx_count,whale_net_exchange_flow_eth,whale_tx_count,block_date,mega_whale_volume_eth,non_exchange_volume_eth,whale_exchange_withdrawals_eth,whale_volume_eth,mega_whale_tx_count,non_exchange_tx_count,whale_exchange_deposits_eth,mega_whale_ratio,btc_price,eth_price,whale_volume_ratio_delta_1d,net_exchange_flow_ratio,eth_burned_zscore_90d,tx_per_active_delta_1d,smart_contract_ratio_delta_1d,whale_tx_zscore_90d,whale_volume_ratio,whale_exchange_asymmetry,median_gas_delta_7d,tx_per_active_zscore_90d,whale_volume_ratio_delta_3d,exchange_flow_share,median_gas_delta_1d,whale_exchange_flow_ratio,eth_burned_delta_1d,block_fullness_delta_1d,eth_funding_rate_8h,eth_ret_lag1,eth_ret_lag2,eth_ret_lag3,eth_ret_lag7,eth_vol7,eth_vol30,eth_rsi,btc_ret_lag1,btc_ret_lag2,btc_ret_lag3,btc_ret_lag7,btc_vol7,btc_vol30,btc_rsi,eth_btc_ratio,eth_btc_ratio_ma7,eth_btc_corr_30d,vol_ratio
9.0,10749.2728,0.9098,2310.607296,0.5146,0.0902,5.0,10749.2728,190.0,2017-10-16 00:00:00+00:00,333562.9927,338263.5592,22147.0794,371808.4451,149.0,176.0,11397.8066,0.8971,5728.93275055115,331.967214731027,,0.002401,0.0,,,,0.237421,0.274629,,0.0,,0.015021,,0.001739,,,6.405e-05,,,,,,,,,,,,,,,0.05794573425549291,,,
21.0,-20684.9471,0.9115,13716.20324,1.5295,0.0885,15.0,-20684.9471,250.0,2017-10-17 00:00:00+00:00,1055397.6419,1017313.5166,39067.9609,1116134.3855,185.0,214.0,59752.908,0.9456,5643.85907705172,317.898212514702,,-0.000963,0.0,-0.0661,8.3e-05,,0.265178,-0.187957,,-0.7071,,0.015033,-10.3854,-0.001727,,-0.145119,6.405e-05,,,,,,,,,,,,,,,0.05632639089223467,,,
5.0,-15211.3463,0.9586,3957.459236,1.6254,0.0414,5.0,-9737.7455,349.0,2017-10-18 00:00:00+00:00,987235.5856,946356.5917,15570.6242,987235.5856,349.0,339.0,25308.3697,1.0,5592.78222421231,314.456554240651,0.02775700000000003,-0.000241,0.0,0.0456,0.024143,,0.199802,-0.250389,,0.2477,,0.010296,3.2781,-0.000781,,-0.057348,6.405e-05,-0.0433049681203206,,,,,,,-0.014961191881698924,,,,,,,0.056225424419227975,,,
6.0,3912.9137,0.8966,2819.239036,0.1403,0.1034,6.0,42161.4337,336.0,2017-10-19 00:00:00+00:00,422143.005,485045.3678,49041.2315,540966.3971,217.0,324.0,6879.7978,0.7803,5696.38014134367,308.4746839282341,-0.06537600000000002,0.003385,0.0,0.0392,0.043882,,0.194496,0.753946,,0.9788,,0.008123,-0.1501,0.00341,,0.058294,6.405e-05,-0.01088532083093455,-0.0433049681203206,,,,,,-0.009091187172391008,-0.014961191881698924,,,,,,0.05415275600891879,,,
11.0,3137.9499,0.9381,3236.014159,0.9605,0.0619,10.0,813.0587,319.0,2017-10-20 00:00:00+00:00,544851.5549,611388.4089,20589.5335,651754.4171,212.0,298.0,19776.4748,0.836,5952.7713587923,302.35649692557024,-0.005306000000000005,0.00145,0.0,0.0256,-0.022849,,0.222178,0.020142,,1.1727,-0.04292499999999999,0.007958,-3.0014,7.2e-05,,0.062177,6.405e-05,-0.019206146121663395,-0.01088532083093455,-0.0433049681203206,,,,,0.018354032304112512,-0.009091187172391008,-0.014961191881698924,,,,,0.050792560086989874,,,
6.0,1956.7708,0.9546,1251.602631,1.3043,0.0454,3.0,-2767.9458,300.0,2017-10-21 00:00:00+00:00,377349.179,440298.6394,9094.7423,461256.0698,216.0,291.0,11862.6881,0.8181,6043.96673129542,300.69384596228315,0.027681999999999984,0.000343,0.0,-0.3122,-0.019961,,0.225166,-0.154623,,-1.9276,-0.04300000000000004,0.006499,1.473,-0.000354,,-0.202802,6.405e-05,-0.02003300357371653,-0.019206146121663395,-0.01088532083093455,,,,,0.04402597552469913,0.018354032304112512,-0.009091187172391008,,,,,0.04975107563138995,,,
3.0,1919.9099,0.9587,2037.817491,0.8243,0.0413,4.0,1735.6054,274.0,2017-10-22 00:00:00+00:00,407455.6346,418425.9612,9879.985,436450.3258,245.0,267.0,8144.3796,0.9336,6003.4640189335,295.4882479105146,0.0029880000000000184,0.00119,0.0,-0.3126,-0.039965,,0.269289,0.044287,,-2.0148,0.025363999999999998,0.006439,-3.8045,9.1e-05,,-0.017633,6.405e-05,-0.005514150504196325,-0.02003300357371653,-0.019206146121663395,,,,,0.01520365427181426,0.04402597552469913,0.018354032304112512,,,,,0.049219625032916804,,,
18.0,-19202.1859,0.832,10204.588172,6.1642,0.168,7.0,-145934.7609,391.0,2017-10-23 00:00:00+00:00,1141324.5286,1002838.4529,28259.0694,1205291.3527,327.0,366.0,174193.8304,0.9469,5959.98304059248,289.4140251237576,0.044122999999999996,0.000368,0.0,0.3885,-0.013391,,0.252705,-0.047931,-4.8073,-0.2794,0.074793,0.032022,7.7829,-0.001245,,0.11232,6.405e-05,-0.017463558208400915,-0.005514150504196325,-0.02003300357371653,,,,,-0.006723900854603126,0.01520365427181426,0.04402597552469913,,,,,0.048559538366570086,0.053487652332453,,
10.0,-16875.447,0.9191,2854.628666,1.1579,0.0809,10.0,-4397.7748,388.0,2017-10-24 00:00:00+00:00,562595.3435,682979.3954,27855.2233,743087.6168,207.0,368.0,32252.9981,0.7571,5550.08158528565,298.75573430773346,-0.016583999999999988,6.2e-05,0.0,0.1247,0.054463,,0.218392,-0.070421,3.5029,0.2949,0.030527000000000026,0.011291,-2.0752,-0.000349,,0.106313,6.405e-05,-0.02077079008431018,-0.017463558208400915,-0.005514150504196325,-0.0433049681203206,0.011850175659807087,,,-0.007269003587343172,-0.006723900854603126,0.01520365427181426,-0.014961191881698924,0.021164113222594413,,,0.05382907074731896,0.05214676720546402,,
6.0,-17616.5832,0.9462,3180.067004,2.5878,0.0538,4.0,-14925.6983,295.0,2017-10-25 00:00:00+00:00,492745.5496,592598.0784,9400.0,626323.7767,161.0,285.0,24325.6983,0.7867,5704.87480650775,298.4839668215046,-0.03431300000000001,-0.001138,0.0,0.1506,0.059462,,0.238995,-0.442562,-4.7557,0.9487,-0.006774000000000002,0.008636,-4.9805,-0.001468,,0.001277,6.405e-05,0.03176802161041693,-0.02077079008431018,-0.017463558208400915,-0.01088532083093455,0.018769206274848235,,,-0.07125500783326841,-0.007269003587343172,-0.006723900854603126,-0.009091187172391008,0.03587983840627187,,,0.052320861884824106,0.05179000718476178,,
