funding_time,funding_rate_8h
2025-11-02 00:00:00.007000+00:00,6.688e-05
2025-11-02 08:00:00+00:00,9.258e-05
2025-11-02 16:00:00.001000+00:00,3.269e-05
2025-11-03 00:00:00+00:00,8.937e-05
2025-11-03 08:00:00.010000+00:00,2.373e-05
2025-11-03 16:00:00+00:00,5.24e-06
2025-11-04 00:00:00.002000+00:00,7.89e-05
2025-11-04 08:00:00.004000+00:00,8.984e-05
2025-11-04 16:00:00+00:00,4.875e-05
2025-11-05 00:00:00+00:00,1.174e-05
2025-11-05 08:00:00+00:00,6.56e-06
2025-11-05 16:00:00.004000+00:00,4.337e-05
2025-11-06 00:00:00.001000+00:00,4.919e-05
2025-11-06 08:00:00+00:00,4.986e-05
2025-11-06 16:00:00.001000+00:00,7.1e-07
2025-11-07 00:00:00.005000+00:00,7.583e-05
2025-11-07 08:00:00.003000+00:00,4.78e-05
2025-11-07 16:00:00.005000+00:00,8.277e-05
2025-11-08 00:00:00.011000+00:00,7.722e-05
2025-11-08 08:00:00.015000+00:00,8.414e-05
2025-11-08 16:00:00.001000+00:00,6.487e-05
2025-11-09 00:00:00.004000+00:00,1.158e-05
2025-11-09 08:00:00+00:00,6.622e-05
2025-11-09 16:00:00.005000+00:00,4.71e-05
2025-11-10 00:00:00+00:00,3.686e-05
2025-11-10 08:00:00+00:00,9.099e-05
2025-11-10 16:00:00.003000+00:00,7.806e-05
2025-11-11 00:00:00.007000+00:00,2.962e-05
2025-11-11 08:00:00+00:00,-2.557e-05
2025-11-11 16:00:00.009000+00:00,2.827e-05
2025-11-12 00:00:00+00:00,3.618e-05
2025-11-12 08:00:00.002000+00:00,-3.94e-05
2025-11-12 16:00:00+00:00,7.04e-05
2025-11-13 00:00:00.002000+00:00,6.967e-05
2025-11-13 08:00:00+00:00,0.0001
2025-11-13 16:00:00.001000+00:00,2.321e-05
2025-11-14 00:00:00+00:00,-3.82e-06
2025-11-14 08:00:00+00:00,3.573e-05
2025-11-14 16:00:00.001000+00:00,7.962e-05
2025-11-15 00:00:00.005000+00:00,4.979e-05
2025-11-15 08:00:00+00:00,4.397e-05
2025-11-15 16:00:00.001000+00:00,4.679e-05
2025-11-16 00:00:00.001000+00:00,0.0001
2025-11-16 08:00:00+00:00,0.0001
2025-11-16 16:00:00+00:00,7.779e-05
2025-11-17 00:00:00.003000+00:00,0.0001
2025-11-17 08:00:00.003000+00:00,0.0001
2025-11-17 16:00:00+00:00,5.992e-05
2025-11-18 00:00:00.002000+00:00,9.056e-05
2025-11-18 08:00:00.004000+00:00,0.0001
2025-11-18 16:00:00+00:00,5.928e-05
2025-11-19 00:00:00+00:00,0.0001
2025-11-19 08:00:00+00:00,6.727e-05
2025-11-19 16:00:00.008000+00:00,3.204e-05
2025-11-20 00:00:00+00:00,7.097e-05
2025-11-20 08:00:00+00:00,7.838e-05
2025-11-20 16:00:00+00:00,6.788e-05
2025-11-21 00:00:00.001000+00:00,3.335e-05
2025-11-21 08:00:00+00:00,1.947e-05
2025-11-21 16:00:00.001000+00:00,5.44e-05
2025-11-22 00:00:00.004000+00:00,1.859e-05
2025-11-22 08:00:00+00:00,7.195e-05
2025-11-22 16:00:00+00:00,4.657e-05
2025-11-23 00:00:00+00:00,6.445e-05
2025-11-23 08:00:00.008000+00:00,-2.356e-05
2025-11-23 16:00:00.003000+00:00,-5.87e-06
2025-11-24 00:00:00.004000+00:00,-1e-07
2025-11-24 08:00:00+00:00,7.615e-05
2025-11-24 16:00:00.006000+00:00,4.931e-05
2025-11-25 00:00:00+00:00,4.02e-05
2025-11-25 08:00:00.009000+00:00,3.624e-05
2025-11-25 16:00:00.007000+00:00,5.56e-06
2025-11-26 00:00:00.001000+00:00,4.707e-05
2025-11-26 08:00:00.001000+00:00,-9.2e-06
2025-11-26 16:00:00+00:00,1.886e-05
2025-11-27 00:00:00.013000+00:00,2.467e-05
2025-11-27 08:00:00+00:00,1.646e-05
2025-11-27 16:00:00.004000+00:00,9.88e-06
2025-11-28 00:00:00.008000+00:00,-1.45e-06
2025-11-28 08:00:00+00:00,2.638e-05
2025-11-28 16:00:00.008000+00:00,-9.03e-06
2025-11-29 00:00:00+00:00,2.574e-05
2025-11-29 08:00:00.005000+00:00,5.1e-06
2025-11-29 16:00:00.001000+00:00,-1.52e-06
2025-11-30 00:00:00.003000+00:00,7.916e-05
2025-11-30 08:00:00+00:00,4.019e-05
2025-11-30 16:00:00.004000+00:00,3.707e-05
2025-12-01 00:00:00+00:00,5.374e-05
2025-12-01 08:00:00.004000+00:00,7.757e-05
2025-12-01 16:00:00+00:00,-2.535e-05
