whale_volume_ratio_delta_1d,net_exchange_flow_ratio,eth_burned_zscore_90d,tx_per_active_delta_1d,smart_contract_ratio_delta_1d,whale_tx_zscore_90d,whale_volume_ratio,whale_exchange_asymmetry,block_date,median_gas_delta_7d,tx_per_active_zscore_90d,whale_volume_ratio_delta_3d,exchange_flow_share,median_gas_delta_1d,whale_exchange_flow_ratio,eth_burned_delta_1d,block_fullness_delta_1d
,0.002401,0.0,,,0.0,0.237421,0.274629,2017-10-16 00:00:00+00:00,,0.0,,0.015021,,0.001739,,
0.027758,-0.000963,0.0,-0.0661,8.3e-05,0.7071,0.265178,-0.187957,2017-10-17 00:00:00+00:00,,-0.7071,,0.015033,-10.3854,-0.001727,,-0.145119
-0.065376,-0.000241,0.0,0.0456,0.024143,0.0901,0.199802,-0.250389,2017-10-18 00:00:00+00:00,,0.2477,,0.010296,3.2781,-0.000781,,-0.057348
-0.005306,0.003385,0.0,0.0392,0.043882,0.2059,0.194496,0.753946,2017-10-19 00:00:00+00:00,,0.9788,-0.042924,0.008123,-0.1501,0.00341,,0.058294
0.027682,0.00145,0.0,0.0256,-0.022849,0.2428,0.222178,0.020142,2017-10-20 00:00:00+00:00,,1.1727,-0.043,0.007958,-3.0014,7.2e-05,,0.062177
0.002988,0.000343,0.0,-0.3122,-0.019961,0.1214,0.225166,-0.154623,2017-10-21 00:00:00+00:00,,-1.9276,0.025364,0.006499,1.473,-0.000354,,-0.202802
0.044123,0.00119,0.0,-0.3126,-0.039965,0.6243,0.269289,0.044287,2017-10-22 00:00:00+00:00,,-2.0148,0.074792,0.006439,-3.8045,9.1e-05,,-0.017633
-0.016584,0.000368,0.0,0.3885,-0.013391,0.764,0.252705,-0.047931,2017-10-23 00:00:00+00:00,-4.8073,-0.2794,0.030527,0.032022,7.7829,-0.001245,,0.11232
-0.034313,6.2e-05,0.0,0.1247,0.054463,0.5353,0.218392,-0.070421,2017-10-24 00:00:00+00:00,3.5029,0.2949,-0.006774,0.011291,-2.0752,-0.000349,,0.106313
0.020603,-0.001138,0.0,0.1506,0.059462,-0.3804,0.238995,-0.442562,2017-10-25 00:00:00+00:00,-4.7557,0.9487,-0.030294,0.008636,-4.9805,-0.001468,,0.001277
0.002491,0.001895,0.0,-0.1416,-0.011827,-0.3361,0.241486,0.086774,2017-10-26 00:00:00+00:00,-4.3245,0.2246,-0.011219,0.012131,0.2812,0.000596,,-0.010509
-0.017162,0.001572,0.0,0.0859,0.004979,-0.6044,0.224324,0.403519,2017-10-27 00:00:00+00:00,-1.5963,0.6399,0.005932,0.005764,-0.2732,0.000865,,0.008863
-0.007112,0.00061,0.0,-0.1004,-0.058103,-0.8772,0.217211,-0.21448,2017-10-28 00:00:00+00:00,-5.3313,0.0904,-0.021783,0.003869,-2.262,-0.000213,,-0.054352
0.028628,0.000872,0.0,0.0111,0.002918,-0.6739,0.24584,-0.171802,2017-10-29 00:00:00+00:00,-2.1706,0.148,0.004354,0.005335,-0.6437,-0.000293,,0.016334
-0.010029,-0.000221,0.0,0.1656,-0.008455,0.2202,0.235811,-0.561413,2017-10-30 00:00:00+00:00,-7.3703,1.0445,0.011487,0.005375,2.5831,-0.00071,,0.05794
-0.020102,0.001758,0.0,-0.0177,0.061924,0.5746,0.215709,0.388215,2017-10-31 00:00:00+00:00,-4.6506,0.8869,-0.001503,0.006953,0.6445,0.000839,,0.047884
0.028165,0.001209,0.0,-0.1431,-0.013904,1.1893,0.243874,-0.40799,2017-11-01 00:00:00+00:00,3.5674,0.0409,-0.001966,0.007933,3.2375,-0.000728,,0.012651
-0.037395,0.000449,0.0,-0.1183,-0.021144,2.4305,0.206479,-0.099799,2017-11-02 00:00:00+00:00,8.7703,-0.6534,-0.029332,0.010797,5.4841,-0.000483,,0.00711
-0.001529,0.000971,0.0,0.1902,-0.013494,0.324,0.20495,0.119201,2017-11-03 00:00:00+00:00,0.8681,0.5088,-0.010759,0.007398,-8.1754,0.000278,,-0.061221
0.036788,0.001159,0.0,0.0282,-0.036268,-1.1837,0.241738,-0.07484,2017-11-04 00:00:00+00:00,0.45,0.6628,-0.002136,0.007023,-2.68,-0.00015,,-0.145137
0.004668,0.002187,0.0,0.0146,0.001344,-1.4111,0.246406,1.0,2017-11-05 00:00:00+00:00,-0.2871,0.729,0.039927,0.005743,-1.3809,0.000614,,-0.06982
0.015696,-0.000671,0.0,-0.0945,0.000432,-0.1721,0.262102,-0.26274,2017-11-06 00:00:00+00:00,-3.471,0.1121,0.057152,0.013307,-0.6008,-0.001816,,0.06431
0.029535,0.002392,0.0,0.0682,0.018502,-0.4556,0.291637,0.013717,2017-11-07 00:00:00+00:00,-2.0962,0.5506,0.049899,0.014445,2.0193,9e-05,,0.040108
0.001093,0.001261,0.0,-0.0968,0.029949,0.9347,0.29273,-0.021501,2017-11-08 00:00:00+00:00,-1.4881,-0.102,0.046324,0.04735,3.8456,-0.00087,,0.011662
0.07286,0.001153,0.0,-0.0833,-0.002819,-0.3072,0.36559,-0.065282,2017-11-09 00:00:00+00:00,-1.097,-0.6586,0.103488,0.01114,5.8752,-0.000257,,0.040581
-0.141546,-0.000665,0.0,-0.009,-0.017659,1.2419,0.224044,-0.103444,2017-11-10 00:00:00+00:00,4.8064,-0.7008,-0.067593,0.01049,-2.272,-0.000382,,-0.040183
-0.01779,-0.00049,0.0,0.0334,0.018297,-0.5619,0.206254,-0.547886,2017-11-11 00:00:00+00:00,11.1726,-0.4548,-0.086476,0.009015,3.6861,-0.00138,,-0.021558
-0.010876,0.001023,0.0,-0.0796,-0.031827,1.7591,0.195378,-0.081063,2017-11-12 00:00:00+00:00,15.1055,-0.9895,-0.170212,0.01054,2.552,-0.000268,,0.007942
0.056988,0.001484,0.0,0.0773,0.005052,0.9131,0.252366,-0.071692,2017-11-13 00:00:00+00:00,15.5686,-0.4261,0.028323,0.015677,-0.1376,-0.000618,,0.039991
0.044648,0.000998,0.0,-0.059,0.01863,1.231,0.297014,-0.098943,2017-11-14 00:00:00+00:00,13.621,-0.8315,0.09076,0.015693,0.0717,-0.000884,,0.044339
-0.036913,0.002079,0.0,0.0097,-0.017636,3.2261,0.260101,-0.119769,2017-11-15 00:00:00+00:00,9.3913,-0.7416,0.064723,0.012223,-0.3841,-0.000831,,0.020667
