block_date,deposit_tx_count,deposit_withdrawal_ratio,exchange_volume_ratio,mega_whale_ratio,mega_whale_tx_count,mega_whale_volume_eth,net_flow_ma7,non_exchange_ratio,non_exchange_tx_count,non_exchange_volume_eth,std_whale_tx_size_eth,whale_exchange_deposits_eth,whale_exchange_withdrawals_eth,whale_net_exchange_flow_eth,whale_tx_count,whale_volume_eth,withdrawal_tx_count,btc_price,eth_price,block_fullness_delta_1d,eth_burned_delta_1d,eth_burned_zscore_90d,exchange_flow_share,median_gas_delta_1d,median_gas_delta_7d,net_exchange_flow_ratio,smart_contract_ratio_delta_1d,tx_per_active_delta_1d,tx_per_active_zscore_90d,whale_exchange_asymmetry,whale_exchange_flow_ratio,whale_tx_zscore_90d,whale_volume_ratio,whale_volume_ratio_delta_1d,whale_volume_ratio_delta_3d
2022-12-29 00:00:00+00:00,10,0.9177,0.1426,1.0,65,352262.5464,2154.6261,0.8574,49,302034.4767,6295.940755,24036.7218,26191.3479,2154.6261,65,352262.5464,6,16592.542999721893,1196.9240120716072,,,0.0,0.181396,,,-0.051837,,,0.0,-0.295462,-0.046984,0.0,0.841315,,
2022-12-30 00:00:00+00:00,7,0.8646,0.4002,1.0,63,540201.1765,15700.1293,0.5998,51,324034.4048,12098.678706,100233.3212,115933.4505,15700.1293,63,540201.1765,5,16551.23757315942,1195.238231912516,,,0.0,0.344926,,,0.024874,,,0.0,0.092171,0.029914,0.0,0.865708,,
2022-12-31 00:00:00+00:00,4,0.8874,0.2393,1.0,53,512851.0006,11509.4267,0.7607,44,390151.1569,10833.311838,57690.5598,65009.2839,7318.7241,53,512851.0006,5,16573.358165052243,1198.8070297454626,0.000785,-123.1345,-0.7071,0.279982,-0.3938,,0.023626,-0.000395,0.0603,0.7071,0.107344,0.028088,-0.2229,0.871155,0.005447,
2023-01-01 00:00:00+00:00,11,2.2272,0.1636,0.9474,47,161862.822,4129.1107,0.8364,38,142900.8025,4839.287611,19294.4627,8662.9414,-10631.5214,56,170858.2066,7,16559.987771017095,1197.2154555125956,0.00163,-177.0204,-1.0542,0.194337,-1.6728,,-0.061218,0.003665,0.0485,0.9618,-0.331564,-0.054801,-1.1489,0.780642,-0.090512,
2023-01-02 00:00:00+00:00,15,2.3125,0.1737,1.0,56,219263.8432,-675.856,0.8263,33,181178.1641,9060.425991,26588.2177,11497.4615,-15090.7562,56,219263.8432,8,16686.503010708373,1211.167918820006,-0.00245,171.7023,0.0769,0.216071,1.3268,,-0.070759,-0.00515,0.046,1.1125,-0.343191,-0.064643,0.5823,0.803439,0.022797,-0.062268
2023-01-03 00:00:00+00:00,13,1.4213,0.2683,1.0,61,161135.5881,-2045.0412,0.7317,39,117906.9922,1796.244303,25375.1889,17853.407,-7521.7819,61,161135.5881,9,16690.377083199997,1213.685262179764,-0.00013,229.1332,1.2642,0.211951,2.695,,-0.065206,0.010429,0.0085,0.9652,-0.326647,-0.059209,0.7665,0.778853,-0.024586,-0.092302
2023-01-04 00:00:00+00:00,21,1.2376,0.2348,1.0,88,931915.2472,-5576.1228,0.7652,57,713141.7044,18880.999487,121002.5368,97771.0059,-23231.5309,88,931915.2472,10,16826.614856651697,1247.5529277919773,-0.000644,164.5248,1.4942,0.280144,0.1049,,-0.03603,-0.013084,-0.1236,-0.7342,-0.114314,-0.029968,1.6409,0.875828,0.096975,0.095185
2023-01-05 00:00:00+00:00,12,0.5439,0.408,1.0,65,459065.2462,3123.9144,0.592,46,271783.2337,11067.327368,65978.9373,121303.0753,55324.138,65,459065.2462,7,16833.309516302168,1251.7403373496566,-0.000442,115.7821,1.4792,0.308819,2.5733,,0.01764,-0.061797,-0.3745,-2.124,0.116315,0.03247,1.8391,0.852707,-0.023121,0.049267
2023-01-06 00:00:00+00:00,18,3.3699,0.3746,1.0,69,353556.2273,-9378.6019,0.6254,42,221130.5627,7182.064324,102121.5746,30304.0899,-71817.4847,69,353556.2273,9,16826.645104634837,1255.1818818254217,0.000283,-68.6236,1.0251,0.333537,-1.7805,2.853,-0.064085,0.054946,0.4205,0.3207,-0.191612,-0.059695,0.5543,0.838967,-0.01374,0.060114
2023-01-07 00:00:00+00:00,9,0.8774,0.163,0.9362,36,136832.5446,-10201.8211,0.837,32,122337.933,4273.904774,11135.3383,12691.5276,1556.1893,46,146164.7989,5,16942.359179756757,1265.586280762738,0.001376,-503.8674,-0.9344,0.147055,-3.968,-0.7213,-0.014037,-0.018205,-0.1632,-0.6491,-0.055032,-0.006282,-0.0029,0.733179,-0.105788,-0.142649
2023-01-08 00:00:00+00:00,13,1.22,0.3398,1.0,40,381524.3172,-10518.8734,0.6602,23,251870.7063,19138.03894,71252.2493,58401.3617,-12850.8876,40,381524.3172,4,16949.897131557726,1265.0759908116536,0.000262,294.9782,0.2679,0.344346,4.2243,5.1759,0.036386,-0.104949,-0.5938,-2.3752,0.125713,0.040844,0.404,0.851776,0.118598,-0.00093
2023-01-09 00:00:00+00:00,28,0.9557,0.3354,1.0,92,472933.0961,-7850.0855,0.6646,54,314296.3044,7025.761471,77523.0161,81113.7756,3590.7595,92,472933.0961,10,17235.032268060455,1317.308097836354,-0.002223,460.1325,1.7648,0.286164,0.8561,4.7051,-0.057636,0.123836,0.5931,-0.1129,-0.191558,-0.050285,0.7529,0.84559,-0.006186,0.006623
