date,regime,direction,model_probability,veto_risk,adjusted_confidence,action,position_size,signal_quality,veto_reasons,eth_price,btc_ret_lag1,whale_exchange_flow_ratio,exchange_volume_zscore,eth_vol7
2025-11-02,R0,,0.012,1,0.032,NO_TRADE,0.0,D,net_flow_negative,3872.751186498839,0.0037320908387834,-0.040536,0,0.0272024629657538
2025-11-03,R0,,0.0214,1,0.0414,NO_TRADE,0.0,D,net_flow_negative,3706.545230236344,0.0024963282626483,-0.05404,0,0.0256578700043537
2025-11-04,R5,SHORT,0.97,1,0.99,ENTER,1.0,C,"net_flow_negative,btc_down,low_volatility",3468.7981262602075,-0.0239148634725219,-0.009154,0,0.0196652850115592
2025-11-05,R3,,0.9834,2,1.0,NO_TRADE,0.0,B,"net_flow_negative,btc_down",3355.7656536240447,-0.0362330563062544,-0.05838,0,0.0271354671789209
2025-11-06,R3,,0.9849,2,1.0,NO_TRADE,0.0,B,"net_flow_negative,btc_down",3367.375317084321,-0.012780706853922,-0.056803,0,0.0273514428555368
2025-11-07,R3,,0.0627,1,0.0827,NO_TRADE,0.0,D,net_flow_negative,3339.504497951036,0.0007723023500179,-0.060068,0,0.0286714174124701
2025-11-08,R5,SHORT,0.9646,2,1.0,ENTER,1.0,B,"net_flow_negative,btc_down",3419.91449452623,-0.0094408622853715,-0.046045,0,0.0279460794434884
2025-11-09,R3,,0.0291,1,0.0491,NO_TRADE,0.0,D,net_flow_negative,3459.0125375753905,0.0059379615018634,-0.010359,0,0.0313716322340174
2025-11-10,R3,,0.0185,1,0.0385,NO_TRADE,0.0,D,net_flow_negative,3585.690547110349,0.0048574225640968,-0.034346,0,0.0325807285909907
2025-11-11,R5,,0.0149,0,0.0149,NO_TRADE,0.0,D,"vol_expanding,btc_strong_up",3529.39482776489,0.0293949495587906,0.05149,0,0.0351310985271754
2025-11-12,R5,SHORT,0.9388,2,0.9788,ENTER,1.0,B,"net_flow_negative,btc_down",3454.8006521103084,-0.0113773102793588,-0.051006,0,0.0237173684203667
2025-11-13,R0,,0.9239,2,0.9639,NO_TRADE,0.0,B,"net_flow_negative,btc_down",3397.7616402510826,-0.0145948938010065,-0.126681,0,0.0210393392334172
2025-11-14,R5,SHORT,0.9638,2,1.0,ENTER,1.0,B,"net_flow_negative,btc_down",3184.0579340413674,-0.0152820949228786,-0.076901,0,0.0224739300382347
2025-11-15,R3,,0.8077,3,0.8677,NO_TRADE,0.0,B,"net_flow_negative,btc_down,vol_expanding",3168.772535417267,-0.0477452466527189,-0.100409,0,0.0338334037110475
2025-11-16,R3,,0.6624,3,0.7224,NO_TRADE,0.0,B,"net_flow_negative,btc_down,vol_expanding",3153.0555686734547,-0.010675142720965,-0.043455,0,0.0311415445882185
2025-11-17,R3,,0.8021,3,0.8621,NO_TRADE,0.0,B,"net_flow_negative,btc_down,vol_expanding",3124.144131203502,-0.006136343753301,-0.071964,0,0.0297771128072679
2025-11-18,R4,,0.8443,2,0.8843,NO_TRADE,0.0,B,"net_flow_negative,btc_down",3063.535553886188,-0.0101211878761643,-0.086371,0,0.0209131402039844
2025-11-19,R5,SHORT,0.9699,2,1.0,ENTER,1.0,B,"net_flow_negative,btc_down",3031.100409876064,-0.02757024178547,-0.090997,0,0.0208456298316338
2025-11-20,R5,SHORT,0.9226,2,0.9626,ENTER,1.0,B,"net_flow_negative,btc_down",2969.3699810791454,-0.0079057652295096,-0.085097,0,0.0211395392579233
2025-11-21,R4,,0.7836,2,0.8236,NO_TRADE,0.0,B,"net_flow_negative,btc_down",2761.911872504505,-0.0056135235583832,-0.026952,0,0.0211283886206036
2025-11-22,R4,,0.962,2,1.0,NO_TRADE,0.0,B,"net_flow_negative,btc_down",2745.62979473441,-0.0666853928316472,-0.038959,0,0.0238354355244103
2025-11-23,R4,,0.1934,2,0.2334,NO_TRADE,0.0,D,"net_flow_negative,btc_down",2814.7634063096343,-0.0028374277065587,-0.013296,0,0.0237194550747062
2025-11-24,R5,,0.0268,1,0.0468,NO_TRADE,0.0,D,"net_flow_negative,vol_expanding,btc_strong_up",2857.3158908772043,0.0245142247358567,-0.101582,0,0.029052182352805
2025-11-25,R5,,0.0231,1,0.0431,NO_TRADE,0.0,D,vol_expanding,2919.088482780641,0.0080059634399068,0.00853,0,0.0313739074966
2025-11-26,R3,,0.02,2,0.06,NO_TRADE,0.0,D,"net_flow_negative,vol_expanding",2956.3001742168804,0.0031161152750979,-0.036303,0,0.0336278939241004
2025-11-27,R0,,0.0233,2,0.0633,NO_TRADE,0.0,D,"net_flow_negative,vol_expanding",3025.117561467081,0.0061599394631593,-0.009428,0,0.0343419723597039
2025-11-28,R0,,0.0194,1,0.0394,NO_TRADE,0.0,D,"net_flow_negative,vol_expanding,btc_strong_up",3035.4015833520243,0.0361483300840912,-0.041282,0,0.034694267637352
2025-11-29,R5,,0.0323,0,0.0323,NO_TRADE,0.0,D,"net_flow_negative,low_volatility",3008.023449398123,0.0014760649221302,-0.064954,0,0.0112832287882017
2025-11-30,R2,,0.7041,0,0.7041,NO_TRADE,0.0,C,"btc_down,low_volatility",3016.2696393536694,-0.0065599880924766,0.025186,0,0.0122100130505015
2025-12-01,R2,,0.0219,0,0.0219,NO_TRADE,0.0,D,"net_flow_negative,low_volatility",2814.249262100317,0.0048986135513126,-0.002329,0,0.0114799888226632
2025-12-02,R0,,0.9812,3,1.0,NO_TRADE,0.0,B,"net_flow_negative,btc_down,vol_expanding",2878.553233551704,-0.0562427149837298,-0.07878,0,0.0316796827083012
2025-12-03,R5,,0.0228,1,0.0428,NO_TRADE,0.0,D,"net_flow_negative,vol_expanding,btc_strong_up",3078.234943829877,0.0266890595082518,-0.061535,0,0.0318317538499687
