date,asset,regime,direction,model_probability,veto_risk,adjusted_confidence,signal_quality,position_size,action,horizon_days,veto_reasons
2025-04-23,ETH,R1,LONG,0.942,0.0,0.942,A,1.0,ENTER,2,[]
2025-04-24,ETH,R1,LONG,0.976,0.0,0.976,A,1.0,ENTER,2,[]
2025-04-25,ETH,R1,LONG,0.961,0.0,0.961,A,1.0,ENTER,2,[]
2025-04-26,ETH,R1,LONG,0.81,0.0,0.81,A,1.0,ENTER,2,[]
2025-04-27,ETH,R1,LONG,0.93,0.0,0.93,A,1.0,ENTER,2,[]
2025-04-28,ETH,R1,LONG,0.781,0.0,0.781,A,1.0,ENTER,2,[]
2025-04-29,ETH,R1,LONG,0.745,0.0,0.745,A,1.0,ENTER,2,[]
2025-04-30,ETH,R2,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-01,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-02,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-03,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-04,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-05,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-06,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-07,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-08,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-09,ETH,R1,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-05-10,ETH,R1,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-05-11,ETH,R1,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-05-12,ETH,R1,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-05-13,ETH,R1,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-05-14,ETH,R1,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-05-15,ETH,R1,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-05-16,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-17,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-18,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-19,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-20,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-21,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-22,ETH,R1,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-05-23,ETH,R1,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-05-24,ETH,R2,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-25,ETH,R2,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-26,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-27,ETH,R2,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-28,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-29,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-30,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-05-31,ETH,R4,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-01,ETH,R4,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-02,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-03,ETH,R3,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-06-04,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-05,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-06,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-07,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-08,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-09,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-10,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-11,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-12,ETH,R1,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-06-13,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-14,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-15,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-16,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-17,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-18,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-19,ETH,R3,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-06-20,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-21,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-22,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-23,ETH,R3,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-06-24,ETH,R3,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-06-25,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-26,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-27,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-28,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-29,ETH,R2,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-06-30,ETH,R2,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-07-01,ETH,R2,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-07-02,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-07-03,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-07-04,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-07-05,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-07-06,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-07-07,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-07-08,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-07-09,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-07-10,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-07-11,ETH,R0,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,['invalid_regime']
2025-07-12,ETH,R1,LONG,0.949,0.0,0.949,A,1.0,ENTER,2,[]
2025-07-13,ETH,R1,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-07-14,ETH,R1,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-07-15,ETH,R1,LONG,0.737,0.0,0.737,A,1.0,ENTER,2,[]
2025-07-16,ETH,R1,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-07-17,ETH,R1,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
2025-07-18,ETH,R1,,0.0,0.0,0.0,D,0.0,NO_TRADE,2,[]
