feature,spearman_corr,cohens_d,up_mean,down_mean,signal_strength,effect_strength,semantic_class
eth_burned_zscore_90d,0.03977298761537814,0.09493148756763083,-0.04298372093023255,-0.14974733606557375,0.03977298761537814,0.09493148756763083,NOISE
whale_volume_ratio_delta_1d,-0.03966297326611366,-0.07661992989874186,-0.0015646298449612428,0.00145116598360656,0.03966297326611366,0.07661992989874186,NOISE
whale_volume_ratio,-0.021669040393013372,-0.040964523443257905,0.8591555794573643,0.8613194057377049,0.021669040393013372,0.040964523443257905,NOISE
whale_tx_zscore_90d,-0.015783367262340826,0.00028071849371126724,-0.002371271731344842,-0.002664291020534574,0.015783367262340826,0.00028071849371126724,NOISE
tx_per_active_zscore_90d,-0.012183894008145159,0.012362568278488554,0.14072403100775194,0.12689385245901638,0.012183894008145159,0.012362568278488554,NOISE
whale_volume_ratio_delta_3d,-0.010561207630126556,-0.035142058556298775,-0.000915684108527133,0.0007814918032786899,0.010561207630126556,0.035142058556298775,NOISE
whale_exchange_flow_ratio,-0.00650793169347522,-0.012986327608779956,-0.028005728682170546,-0.027408838114754096,0.00650793169347522,0.012986327608779956,NOISE
net_exchange_flow_ratio,-0.006036940406363031,-0.012972523287226853,-0.03093542635658915,-0.030337750000000004,0.006036940406363031,0.012972523287226853,NOISE
exchange_flow_share,0.003867629758825571,0.029216088997634265,0.3542822790697675,0.3517666844262295,0.003867629758825571,0.029216088997634265,NOISE
whale_exchange_asymmetry,-0.0005431871095747308,0.0004965688221338006,-0.07991282945736435,-0.07997858401639345,0.0005431871095747308,0.0004965688221338006,NOISE
