block_date,withdrawal_tx_count,std_whale_tx_size_eth,deposit_withdrawal_ratio,non_exchange_volume_eth,mega_whale_ratio,mega_whale_volume_eth,whale_volume_eth,non_exchange_ratio,net_flow_ma7,whale_exchange_withdrawals_eth,exchange_volume_ratio,whale_exchange_deposits_eth,non_exchange_tx_count,whale_tx_count,mega_whale_tx_count,deposit_tx_count,whale_net_exchange_flow_eth
2017-10-16 00:00:00+00:00,5.0,2310.607296,0.5146,338263.5592,0.8971,333562.9927,371808.4451,0.9098,10749.2728,22147.0794,0.0902,11397.8066,176.0,190.0,149.0,9.0,10749.2728
2017-10-17 00:00:00+00:00,15.0,13716.20324,1.5295,1017313.5166,0.9456,1055397.6419,1116134.3855,0.9115,-20684.9471,39067.9609,0.0885,59752.908,214.0,250.0,185.0,21.0,-20684.9471
2017-10-18 00:00:00+00:00,5.0,3957.459236,1.6254,946356.5917,1.0,987235.5856,987235.5856,0.9586,-15211.3463,15570.6242,0.0414,25308.3697,339.0,349.0,349.0,5.0,-9737.7455
2017-10-19 00:00:00+00:00,6.0,2819.239036,0.1403,485045.3678,0.7803,422143.005,540966.3971,0.8966,3912.9137,49041.2315,0.1034,6879.7978,324.0,336.0,217.0,6.0,42161.4337
2017-10-20 00:00:00+00:00,10.0,3236.014159,0.9605,611388.4089,0.836,544851.5549,651754.4171,0.9381,3137.9499,20589.5335,0.0619,19776.4748,298.0,319.0,212.0,11.0,813.0587
2017-10-21 00:00:00+00:00,3.0,1251.602631,1.3043,440298.6394,0.8181,377349.179,461256.0698,0.9546,1956.7708,9094.7423,0.0454,11862.6881,291.0,300.0,216.0,6.0,-2767.9458
2017-10-22 00:00:00+00:00,4.0,2037.817491,0.8243,418425.9612,0.9336,407455.6346,436450.3258,0.9587,1919.9099,9879.985,0.0413,8144.3796,267.0,274.0,245.0,3.0,1735.6054
2017-10-23 00:00:00+00:00,7.0,10204.588172,6.1642,1002838.4529,0.9469,1141324.5286,1205291.3527,0.832,-19202.1859,28259.0694,0.168,174193.8304,366.0,391.0,327.0,18.0,-145934.7609
2017-10-24 00:00:00+00:00,10.0,2854.628666,1.1579,682979.3954,0.7571,562595.3435,743087.6168,0.9191,-16875.447,27855.2233,0.0809,32252.9981,368.0,388.0,207.0,10.0,-4397.7748
2017-10-25 00:00:00+00:00,4.0,3180.067004,2.5878,592598.0784,0.7867,492745.5496,626323.7767,0.9462,-17616.5832,9400.0,0.0538,24325.6983,285.0,295.0,161.0,6.0,-14925.6983
2017-10-26 00:00:00+00:00,7.0,3089.308402,0.7819,497122.7981,0.788,441412.8214,560176.2149,0.8874,-22537.1247,35385.53,0.1126,27667.8868,260.0,277.0,157.0,10.0,7717.6432
