block_date,block_fullness_delta_1d,eth_burned_delta_1d,eth_burned_zscore_90d,exchange_flow_share,median_gas_delta_1d,median_gas_delta_7d,net_exchange_flow_ratio,smart_contract_ratio_delta_1d,tx_per_active_delta_1d,tx_per_active_zscore_90d,whale_exchange_asymmetry,whale_exchange_flow_ratio,whale_tx_zscore_90d,whale_volume_ratio,whale_volume_ratio_delta_1d,whale_volume_ratio_delta_3d
2022-12-24,,,0.0,0.214255,,,-0.046363,,,0.0,-0.220737,-0.041071,0.0,0.787476,,
2022-12-25,0.00094,-66.7108,-0.7071,0.465847,-0.4777,,-0.067329,-0.003125,-0.1195,-0.7071,-0.145227,-0.0643,-0.7071,0.828582,0.041106,
2022-12-26,-0.001519,80.6159,0.7311,0.267112,0.3889,,0.059721,0.016022,0.1271,0.6296,0.274775,0.065974,0.6562,0.802134,-0.026448,
2022-12-27,-0.000582,358.3551,1.4761,0.232362,2.9815,,-0.070792,-0.001002,0.082,1.1052,-0.311978,-0.063458,0.4549,0.798523,-0.003611,0.011047
2022-12-28,-0.00034,120.1106,1.31,0.241721,0.8067,,-0.081152,0.014817,0.0344,1.0975,-0.351388,-0.07726,1.2614,0.836217,0.037694,0.007635
2022-12-29,0.000191,48.4785,1.1544,0.181396,1.0066,,-0.051837,0.00269,0.0134,1.005,-0.295686,-0.046942,0.1878,0.839905,0.003688,0.037771
2022-12-30,0.000137,75.8219,1.1566,0.344926,0.2405,,0.024874,0.001436,-0.068,0.284,0.09166,0.029812,0.9778,0.869513,0.029608,0.07099
2022-12-31,0.000785,-123.1345,0.6662,0.279982,-0.4107,4.5358,0.023626,-0.000395,0.0603,0.8517,0.1072,0.028054,-0.6816,0.871447,0.001934,0.03523
2023-01-01,0.00163,-177.0204,0.0295,0.194337,-1.6738,3.3396,-0.061218,0.003665,0.0485,1.1921,-0.331037,-0.054638,-2.3792,0.779733,-0.091713,-0.060172
2023-01-02,-0.00245,171.7023,0.64,0.216071,1.3604,4.3111,-0.070759,-0.00515,0.046,1.4046,-0.343029,-0.064643,0.1626,0.803662,0.023928,-0.065851
2023-01-03,-0.00013,229.1332,1.3312,0.211951,2.6187,3.9484,-0.065206,0.010429,0.0085,1.2905,-0.326271,-0.059059,0.2135,0.77693,-0.026732,-0.094517
2023-01-04,-0.000644,164.5248,1.6131,0.280144,0.1301,3.2717,-0.03603,-0.013084,-0.1236,0.1068,-0.114266,-0.029954,1.9324,0.875729,0.098799,0.095995
2023-01-05,-0.000442,115.7821,1.6717,0.308819,2.6475,4.9126,0.01764,-0.061797,-0.3745,-2.4149,0.11636,0.032481,2.5277,0.852627,-0.023101,0.048965
