block_date,deposit_tx_count,deposit_withdrawal_ratio,exchange_volume_ratio,mega_whale_ratio,mega_whale_tx_count,mega_whale_volume_eth,net_flow_ma7,non_exchange_ratio,non_exchange_tx_count,non_exchange_volume_eth,std_whale_tx_size_eth,whale_exchange_deposits_eth,whale_exchange_withdrawals_eth,whale_net_exchange_flow_eth,whale_tx_count,whale_volume_eth,withdrawal_tx_count,btc_price,eth_price,block_fullness_delta_1d,eth_burned_delta_1d,eth_burned_zscore_90d,exchange_flow_share,median_gas_delta_1d,median_gas_delta_7d,net_exchange_flow_ratio,smart_contract_ratio_delta_1d,tx_per_active_delta_1d,tx_per_active_zscore_90d,whale_exchange_asymmetry,whale_exchange_flow_ratio,whale_tx_zscore_90d,whale_volume_ratio,whale_volume_ratio_delta_1d,whale_volume_ratio_delta_3d
2022-12-24 00:00:00+00:00,11,1.5554,0.2899,0.9475,36,108354.7154,-7203.919,0.7101,24,81206.9408,3279.562931,20175.0838,12971.1648,-7203.919,42,114353.1894,7,16837.429466484933,1219.7467059714284,,,0.0,0.214255,,,-0.046363,,,0.0,-0.220737,-0.041071,0.0,0.787476,,
2022-12-25 00:00:00+00:00,10,4.4874,0.6327,1.0,36,147540.1401,-59329.7899,0.3673,18,54184.9701,8106.49399,76342.4799,17012.69,-59329.7899,36,147540.1401,8,16823.533325792505,1217.1600384079595,,,0.0,0.465847,,,-0.067329,,,0.0,-0.145227,-0.0643,0.0,0.828582,,
2022-12-26 00:00:00+00:00,8,0.189,0.3896,0.9751,50,196152.9223,53454.7638,0.6104,38,122784.2329,7771.982946,12456.6605,65911.4244,53454.7638,55,201152.3179,9,16850.745986845133,1218.8362599988034,,,0.0,0.267112,,,0.059721,,,0.0,0.274527,0.065927,0.0,0.80225,,
2022-12-27 00:00:00+00:00,19,2.0556,0.2697,1.0,74,222378.6261,16368.8473,0.7303,45,162409.161,3078.704806,40343.2672,19626.198,-20717.0692,74,222378.6261,10,16809.530592552193,1217.577579584701,-0.000582,358.3551,0.7071,0.232362,3.0361,,-0.070792,-0.001002,0.082,0.7071,-0.312723,-0.063788,0.0555,0.80158,-0.000671,
2022-12-28 00:00:00+00:00,14,6.4245,0.2372,1.0,65,334844.6762,-8432.1986,0.7628,49,255413.2942,6903.32972,68732.8362,10698.5457,-58034.2905,65,334844.6762,2,16638.733622351407,1196.799529411102,-0.00034,120.1106,0.8016,0.241721,0.6857,,-0.081152,0.014817,0.0344,0.8405,-0.3515,-0.077298,0.9225,0.836426,0.034846,
2022-12-29 00:00:00+00:00,10,0.9177,0.1426,1.0,65,352262.5464,-5785.4924,0.8574,49,302034.4767,6295.940755,24036.7218,26191.3479,2154.6261,65,352262.5464,6,16592.542999721893,1196.9240120716072,0.000191,48.4785,0.7812,0.181396,1.0318,,-0.051837,0.00269,0.0134,0.8191,-0.296023,-0.046942,-0.8724,0.839067,0.002641,0.036816
2022-12-30 00:00:00+00:00,7,0.8646,0.4002,1.0,63,540201.1765,-1488.3681,0.5998,51,324034.4048,12098.678706,100233.3212,115933.4505,15700.1293,63,540201.1765,5,16551.23757315942,1195.238231912516,0.000137,75.8219,0.8834,0.344926,0.2055,,0.024874,0.001436,-0.068,-0.3154,0.092113,0.029897,-0.427,0.866014,0.026947,0.064434
2022-12-31 00:00:00+00:00,4,0.8874,0.2393,1.0,53,512851.0006,-20.5194,0.7607,44,390151.1569,10833.311838,57690.5598,65009.2839,7318.7241,53,512851.0006,5,16573.358165052243,1198.8070297454626,0.000785,-123.1345,0.3346,0.279982,-0.3739,,0.023626,-0.000395,0.0603,0.747,0.107804,0.028193,-1.6675,0.870331,0.004317,0.033905
2023-01-01 00:00:00+00:00,6,2.1454,0.1311,1.0,45,159862.7433,-1108.0082,0.8689,34,138902.1161,5288.107763,14296.7842,6663.843,-7632.9412,45,159862.7433,5,16559.987771017095,1197.2154555125956,0.00163,-177.0204,-0.4498,0.194337,-1.6459,,-0.061218,0.003665,0.0485,1.321,-0.331564,-0.054801,-1.9954,0.780965,-0.089367,-0.058102
2023-01-02 00:00:00+00:00,13,2.3484,0.1617,1.0,51,213250.9643,-10727.7844,0.8383,31,178774.3698,9460.039245,24180.1318,10296.4627,-13883.6691,51,213250.9643,7,16686.503010708373,1211.167918820006,-0.00245,171.7023,0.3807,0.216071,1.3821,4.3214,-0.070759,-0.00515,0.046,1.5715,-0.343191,-0.064643,0.0726,0.803327,0.022362,-0.062687
