trade_id,entry_date,direction,regime,entry_price,confidence,position_size,reasons,mae_pct,mfe_pct,final_pct,trade_days,window_days,max_price,min_price,signal_details,funding_rate
1,2024-11-27,SHORT,R5,3476.9773514268786,0.85,1.0,btc_breakdown,-15.059241809260548,9.94466820704243,8.23830774721156,48,48,4000.5837784314754,3131.203490193464,"{""date"": ""2024-11-27"", ""regime"": ""R5"", ""direction"": ""SHORT"", ""model_probability"": 0.9525667897748236, ""adjusted_confidence"": 0.85, ""position_size"": 1.0, ""reasons"": [""btc_breakdown""], ""funding_available"": true, ""funding_rate"": 6.405e-05, ""action"": ""ENTER""}",6.405e-05
2,2024-12-11,SHORT,R5,3720.775965270674,0.85,0.5,vol_expansion,-7.076596938837709,16.050235620288046,14.819221963026019,48,48,3984.080283330028,3123.582655941684,"{""date"": ""2024-12-11"", ""regime"": ""R5"", ""direction"": ""SHORT"", ""model_probability"": 0.936829573063651, ""adjusted_confidence"": 0.85, ""position_size"": 0.5, ""reasons"": [""vol_expansion""], ""funding_available"": true, ""funding_rate"": 6.405e-05, ""action"": ""ENTER""}",6.405e-05
3,2024-12-19,SHORT,R5,3604.208597556828,0.85,1.0,btc_breakdown|vol_expansion,-1.6772136008642358,26.62853307889077,23.393358368798534,48,48,3664.6588743585694,2644.460718924183,"{""date"": ""2024-12-19"", ""regime"": ""R5"", ""direction"": ""SHORT"", ""model_probability"": 0.9643657144913805, ""adjusted_confidence"": 0.85, ""position_size"": 1.0, ""reasons"": [""btc_breakdown"", ""vol_expansion""], ""funding_available"": true, ""funding_rate"": 6.405e-05, ""action"": ""ENTER""}",6.405e-05
4,2025-01-09,SHORT,R5,3289.092277260675,0.85,1.0,btc_breakdown|vol_expansion,-3.461280142643419,26.110020265302413,26.110020265302413,48,48,3402.936975126717,2430.309617123416,"{""date"": ""2025-01-09"", ""regime"": ""R5"", ""direction"": ""SHORT"", ""model_probability"": 0.9842497225655127, ""adjusted_confidence"": 0.85, ""position_size"": 1.0, ""reasons"": [""btc_breakdown"", ""vol_expansion""], ""funding_available"": true, ""funding_rate"": 6.405e-05, ""action"": ""ENTER""}",6.405e-05
5,2025-01-10,SHORT,R5,3270.296211046498,0.85,1.0,btc_breakdown|vol_expansion,-4.055925075905398,28.8885086899174,28.8885086899174,48,48,3402.936975126717,2325.5564059322905,"{""date"": ""2025-01-10"", ""regime"": ""R5"", ""direction"": ""SHORT"", ""model_probability"": 0.9787416347391307, ""adjusted_confidence"": 0.85, ""position_size"": 1.0, ""reasons"": [""btc_breakdown"", ""vol_expansion""], ""funding_available"": true, ""funding_rate"": 6.405e-05, ""action"": ""ENTER""}",6.405e-05
6,2025-02-01,SHORT,R5,3253.678051667197,0.85,1.0,vol_expansion,-0.0,42.34788832477332,39.43422971069214,48,48,3253.678051667197,1875.814103899512,"{""date"": ""2025-02-01"", ""regime"": ""R5"", ""direction"": ""SHORT"", ""model_probability"": 0.9727937300342917, ""adjusted_confidence"": 0.85, ""position_size"": 1.0, ""reasons"": [""vol_expansion""], ""funding_available"": true, ""funding_rate"": 6.405e-05, ""action"": ""ENTER""}",6.405e-05
7,2025-02-03,SHORT,R5,2644.460718924183,0.85,0.5,btc_breakdown|vol_expansion,-5.589265699304646,29.066289755189523,24.338394750465465,48,48,2792.266654818597,1875.814103899512,"{""date"": ""2025-02-03"", ""regime"": ""R5"", ""direction"": ""SHORT"", ""model_probability"": 0.9845498403737001, ""adjusted_confidence"": 0.85, ""position_size"": 0.5, ""reasons"": [""btc_breakdown"", ""vol_expansion""], ""funding_available"": true, ""funding_rate"": 6.405e-05, ""action"": ""ENTER""}",6.405e-05
8,2025-02-06,SHORT,R5,2772.9643773463827,0.85,0.5,vol_expansion,-0.6960881874251035,32.3534727231299,26.3534578476563,48,48,2792.266654818597,1875.814103899512,"{""date"": ""2025-02-06"", ""regime"": ""R5"", ""direction"": ""SHORT"", ""model_probability"": 0.9347846396934915, ""adjusted_confidence"": 0.85, ""position_size"": 0.5, ""reasons"": [""vol_expansion""], ""funding_available"": true, ""funding_rate"": 6.405e-05, ""action"": ""ENTER""}",6.405e-05
9,2025-02-07,SHORT,R5,2703.557267759268,0.85,0.5,vol_expansion,-3.281209838504817,30.61681636009127,25.387865535639943,48,48,2792.266654818597,1875.814103899512,"{""date"": ""2025-02-07"", ""regime"": ""R5"", ""direction"": ""SHORT"", ""model_probability"": 0.8398542514292165, ""adjusted_confidence"": 0.85, ""position_size"": 0.5, ""reasons"": [""vol_expansion""], ""funding_available"": true, ""funding_rate"": 6.405e-05, ""action"": ""ENTER""}",6.405e-05
10,2025-02-09,SHORT,R5,2644.961347230428,0.85,0.5,vol_expansion,-5.569280161406298,29.684520012218517,29.684520012218517,48,48,2792.266654818597,1859.8172667963672,"{""date"": ""2025-02-09"", ""regime"": ""R5"", ""direction"": ""SHORT"", ""model_probability"": 0.9450216181299299, ""adjusted_confidence"": 0.85, ""position_size"": 0.5, ""reasons"": [""vol_expansion""], ""funding_available"": true, ""funding_rate"": 6.405e-05, ""action"": ""ENTER""}",6.405e-05
