block_date,deposit_tx_count,deposit_withdrawal_ratio,exchange_volume_ratio,mega_whale_ratio,mega_whale_tx_count,mega_whale_volume_eth,net_flow_ma7,non_exchange_ratio,non_exchange_tx_count,non_exchange_volume_eth,std_whale_tx_size_eth,whale_exchange_deposits_eth,whale_exchange_withdrawals_eth,whale_net_exchange_flow_eth,whale_tx_count,whale_volume_eth,withdrawal_tx_count
2022-12-24 00:00:00+00:00,11,1.5554,0.2899,0.9475,36,108354.7154,-7203.919,0.7101,24,81206.9408,3279.562931,20175.0838,12971.1648,-7203.919,42,114353.1894,7
2022-12-25 00:00:00+00:00,10,4.4874,0.6327,1.0,36,147540.1401,-59329.7899,0.3673,18,54184.9701,8106.49399,76342.4799,17012.69,-59329.7899,36,147540.1401,8
2022-12-26 00:00:00+00:00,8,0.189,0.3896,0.9751,50,196152.9223,-2937.513,0.6104,38,122784.2329,7771.982946,12456.6605,65911.4244,53454.7638,55,201152.3179,9
2022-12-27 00:00:00+00:00,19,2.0556,0.2713,1.0,73,221020.925,-8864.0317,0.7287,44,161051.4598,3093.841876,40343.2672,19626.198,-20717.0692,73,221020.925,10
2022-12-28 00:00:00+00:00,14,5.023,0.244,1.0,67,337829.6752,-20410.3467,0.756,49,255413.2942,6826.816768,68732.8362,13683.5447,-55049.2915,67,337829.6752,4
2022-12-29 00:00:00+00:00,10,0.9177,0.1426,1.0,65,352262.5464,-15897.3521,0.8574,49,302034.4767,6295.940755,24036.7218,26191.3479,2154.6261,65,352262.5464,6
2022-12-30 00:00:00+00:00,7,0.8646,0.4002,1.0,63,540201.1765,-10631.1052,0.5998,51,324034.4048,12098.678706,100233.3212,115933.4505,15700.1293,63,540201.1765,5
2022-12-31 00:00:00+00:00,4,0.8874,0.2393,1.0,53,512851.0006,-8066.8439,0.7607,44,390151.1569,10833.311838,57690.5598,65009.2839,7318.7241,53,512851.0006,5
2023-01-01 00:00:00+00:00,6,2.1454,0.1311,1.0,45,159862.7433,-681.5798,0.8689,34,138902.1161,5288.107763,14296.7842,6663.843,-7632.9412,45,159862.7433,5
2023-01-02 00:00:00+00:00,15,2.3125,0.1737,1.0,56,219263.8432,-10473.7969,0.8263,33,181178.1641,9060.425991,26588.2177,11497.4615,-15090.7562,56,219263.8432,8
2023-01-03 00:00:00+00:00,13,1.4213,0.2683,1.0,61,161135.5881,-8588.7559,0.7317,39,117906.9922,1796.244303,25375.1889,17853.407,-7521.7819,61,161135.5881,9
2023-01-04 00:00:00+00:00,21,1.2376,0.2348,1.0,88,931915.2472,-4043.3615,0.7652,57,713141.7044,18880.999487,121002.5368,97771.0059,-23231.5309,88,931915.2472,10
2023-01-05 00:00:00+00:00,12,0.5439,0.408,1.0,65,459065.2462,3552.283,0.592,46,271783.2337,11067.327368,65978.9373,121303.0753,55324.138,65,459065.2462,7
2023-01-06 00:00:00+00:00,19,3.4288,0.3703,1.0,74,362486.4301,-9205.3768,0.6297,46,228274.7609,6982.880288,103907.5793,30304.0899,-73603.4894,74,362486.4301,9
2023-01-07 00:00:00+00:00,9,0.8774,0.163,0.9362,36,136832.5446,-10028.596,0.837,32,122337.933,4273.904774,11135.3383,12691.5276,1556.1893,46,146164.7989,5
2023-01-08 00:00:00+00:00,13,1.22,0.3407,1.0,39,380521.3184,-10774.0169,0.6593,22,250867.7075,19337.447211,71252.2493,58401.3617,-12850.8876,39,380521.3184,4
2023-01-09 00:00:00+00:00,27,0.9345,0.3367,1.0,88,465994.1819,-7859.0074,0.6633,51,309080.9414,7146.554269,75799.4649,81113.7756,5314.3107,88,465994.1819,10
2023-01-10 00:00:00+00:00,11,0.5744,0.2952,1.0,67,431220.7233,-1868.3147,0.7048,48,303915.888,7868.663695,46445.884,80858.9513,34413.0673,67,431220.7233,8
2023-01-11 00:00:00+00:00,13,4.7839,0.3598,1.0,70,415692.3696,-12527.343,0.6402,50,266130.9695,7624.342322,123703.0647,25858.3354,-97844.7292,70,415692.3696,7
2023-01-12 00:00:00+00:00,29,1.1505,0.3882,1.0,102,816527.5059,-23599.2317,0.6118,59,499537.6913,15226.178854,169584.4486,147405.3659,-22179.0827,102,816527.5059,14
2023-01-13 00:00:00+00:00,13,0.8727,0.1796,1.0,83,843533.3499,-11613.9884,0.8204,59,692050.4529,23863.733456,70594.8418,80888.0552,10293.2135,83,843533.3499,11
2023-01-14 00:00:00+00:00,31,1.9532,0.3812,1.0,107,938904.42,-28339.1251,0.6188,69,580990.483,18418.185649,236716.8522,121197.0848,-115519.7674,107,938904.42,7
2023-01-15 00:00:00+00:00,12,1.8288,0.3981,1.0,58,192130.8082,-29704.3846,0.6019,34,115651.6828,4414.443074,49443.4148,27035.7106,-22407.7042,58,192130.8082,12
2023-01-16 00:00:00+00:00,15,0.5321,0.2956,1.0,73,626820.0516,-22381.8487,0.7044,37,441559.2232,24297.760662,64344.3833,120916.4451,56572.0618,73,626820.0516,21
2023-01-17 00:00:00+00:00,16,1.8844,0.3982,1.0,67,741508.0959,-40233.2246,0.6018,38,446208.1729,24425.193165,192923.2435,102376.6796,-90546.5639,67,741508.0959,13
2023-01-18 00:00:00+00:00,23,1.2062,0.3038,1.0,98,610184.3605,-28730.5339,0.6962,67,424827.8804,11179.300022,101341.1873,84015.2928,-17325.8945,98,610184.3605,8
2023-01-19 00:00:00+00:00,12,3.8649,0.4776,1.0,67,620880.0636,-50506.8359,0.5224,52,324369.4057,18433.053192,235561.9271,60948.7308,-174613.1963,67,620880.0636,3
2023-01-20 00:00:00+00:00,12,1.1799,0.4456,1.0,73,607671.3479,-55169.1226,0.5544,55,336874.3483,12044.203715,146569.8965,124227.1031,-22342.7934,73,607671.3479,6
2023-01-21 00:00:00+00:00,12,1.1424,0.306,1.0,69,406517.9161,-39847.5572,0.694,44,282119.5288,11624.235372,66333.5986,58064.7887,-8268.8099,69,406517.9161,13
2023-01-22 00:00:00+00:00,16,3.3335,0.3244,1.0,52,216365.8454,-42045.8973,0.6756,30,146175.7084,5125.63174,53993.1111,16197.0259,-37796.0851,52,216365.8454,6
2023-01-23 00:00:00+00:00,16,1.7205,0.4604,1.0,56,521484.5143,-59212.4563,0.5396,36,281374.4943,15806.287628,151851.9355,88258.0845,-63593.8511,56,521484.5143,4
2023-01-24 00:00:00+00:00,11,0.7699,0.397,1.0,73,557362.859,-42167.3603,0.603,53,336115.4625,9882.102565,96239.1441,125008.2523,28769.1082,73,557362.859,9
2023-01-25 00:00:00+00:00,9,0.9598,0.2136,1.0,78,675540.0794,-39269.7102,0.7864,62,531233.7413,8654.952471,70674.3409,73631.9972,2957.6563,78,675540.0794,7
2023-01-26 00:00:00+00:00,17,3.7271,0.2719,1.0,67,230198.9157,-19484.0137,0.7281,46,167600.8394,3588.769988,49355.6987,13242.3776,-36113.3212,67,230198.9157,4
